D_clean,D_fake,D_noisy
-316.6682434082031,-311.4844970703125,-338.581298828125
-305.1814270019531,-308.87298583984375,-353.282958984375
-314.44036865234375,-313.2250061035156,-317.105712890625
-302.7441101074219,-303.1583557128906,-324.7420349121094
-313.86907958984375,-314.03985595703125,-323.44158935546875
-310.08856201171875,-307.65582275390625,-316.0648193359375
-313.8781433105469,-313.5762634277344,-328.07403564453125
-300.77117919921875,-312.25634765625,-356.56475830078125
-307.83441162109375,-320.65167236328125,-343.33526611328125
-308.107421875,-306.51513671875,-332.9281921386719
-301.8003234863281,-302.5333557128906,-307.4439697265625
-306.3758850097656,-313.4123229980469,-315.2707214355469
-312.85601806640625,-314.1962890625,-324.037109375
-299.3098449707031,-302.3682556152344,-346.6346435546875
-313.26495361328125,-320.3857116699219,-355.9538269042969
-302.09619140625,-301.05755615234375,-305.8883056640625
-305.771728515625,-308.5463562011719,-308.638916015625
-311.6573181152344,-311.21533203125,-322.348876953125
-309.38592529296875,-306.6044921875,-327.64935302734375
-308.5306396484375,-310.21319580078125,-310.84259033203125
-317.28802490234375,-316.330810546875,-329.3780822753906
-318.6823425292969,-320.48138427734375,-337.83990478515625
-309.75225830078125,-315.10772705078125,-349.62188720703125
-306.0628356933594,-302.19036865234375,-310.73828125
-305.3017272949219,-305.2138366699219,-308.50799560546875
-304.91546630859375,-313.20794677734375,-316.8399353027344
-317.1167907714844,-318.36981201171875,-343.57427978515625
-306.70953369140625,-301.461181640625,-311.22906494140625
-309.2432861328125,-305.52947998046875,-314.90057373046875
-308.5520324707031,-307.90667724609375,-321.157958984375
-307.5008544921875,-305.474853515625,-328.99725341796875
-308.09564208984375,-314.255126953125,-310.86273193359375
-312.4429016113281,-309.95660400390625,-316.714599609375
-306.98779296875,-305.443359375,-318.4939270019531
-312.6276550292969,-312.98876953125,-334.228759765625
-306.1344299316406,-307.759521484375,-309.4246826171875
-312.2362976074219,-308.71649169921875,-318.2872314453125
-307.98114013671875,-307.39630126953125,-318.84710693359375
-309.2037048339844,-308.2112121582031,-320.29815673828125
-316.0813903808594,-313.03851318359375,-320.3381042480469
-308.8480224609375,-306.23126220703125,-319.672607421875
-305.6385498046875,-306.024169921875,-321.0211181640625
-311.47186279296875,-310.46484375,-332.44476318359375
-300.1949768066406,-299.3796081542969,-306.5126953125
-310.8995056152344,-310.0722961425781,-315.243896484375
-304.5923767089844,-305.5078125,-317.52825927734375
-307.1265869140625,-308.29705810546875,-331.4629821777344
-313.3232727050781,-306.87261962890625,-316.3857421875
-293.4456481933594,-292.07342529296875,-305.8963623046875
-304.47808837890625,-302.89874267578125,-323.6445007324219
-314.88525390625,-313.9110107421875,-334.6761779785156
-305.92608642578125,-304.2342834472656,-308.31231689453125
-312.6781921386719,-310.45599365234375,-317.92181396484375
-307.0404052734375,-303.65911865234375,-320.30938720703125
-304.78997802734375,-305.2258605957031,-334.4798583984375
-296.9859313964844,-297.0107727050781,-300.10321044921875
-302.868408203125,-301.9754943847656,-307.70880126953125
-308.0824279785156,-308.46929931640625,-312.63629150390625
-302.88873291015625,-302.31011962890625,-314.70111083984375
-306.03497314453125,-304.48614501953125,-312.1004943847656
-305.96661376953125,-305.0106201171875,-313.4620361328125
-307.52008056640625,-307.64862060546875,-321.16766357421875
-296.94866943359375,-305.9433898925781,-350.9227294921875
-310.37237548828125,-305.5760192871094,-313.52154541015625
-298.7645263671875,-297.5722961425781,-310.5007019042969
-299.13134765625,-306.567138671875,-316.62921142578125
-305.2741394042969,-307.3670654296875,-332.0328063964844
-310.62762451171875,-307.74700927734375,-315.0836486816406
-299.01715087890625,-296.44635009765625,-313.9565124511719
-311.001220703125,-308.4142761230469,-329.29620361328125
-306.31866455078125,-304.8266906738281,-339.65850830078125
-309.21575927734375,-308.19793701171875,-312.57916259765625
-299.697265625,-299.07049560546875,-309.7589416503906
-312.6442565917969,-312.77569580078125,-325.48468017578125
-311.0622253417969,-309.50701904296875,-341.22540283203125
-309.42913818359375,-308.1687316894531,-312.1560974121094
-311.668212890625,-309.30322265625,-319.5595703125
-305.81890869140625,-305.29266357421875,-316.5062561035156
-312.68231201171875,-307.3578796386719,-336.83526611328125
-294.7065124511719,-293.8059997558594,-302.6199951171875
-301.978271484375,-300.9886474609375,-309.281494140625
-315.05426025390625,-315.4483337402344,-337.7548828125
-308.09765625,-314.25933837890625,-343.27545166015625
-310.99359130859375,-306.31695556640625,-314.1876220703125
-308.1186828613281,-307.28826904296875,-315.4626770019531
-307.01165771484375,-309.03143310546875,-324.0486755371094
-307.2058410644531,-308.99609375,-344.09515380859375
-301.65618896484375,-300.43743896484375,-306.798828125
-306.18463134765625,-304.05145263671875,-318.217529296875
-313.5205078125,-309.3492431640625,-328.74383544921875
-308.9625244140625,-309.3426818847656,-336.9159240722656
-309.2564697265625,-307.11297607421875,-313.01605224609375
-306.0888977050781,-309.62591552734375,-313.3028259277344
-299.10418701171875,-298.81585693359375,-323.3141784667969
-307.14306640625,-310.90777587890625,-326.14532470703125
-313.01123046875,-305.80169677734375,-314.3284912109375
-305.103515625,-304.76025390625,-309.03448486328125
-300.49700927734375,-301.8944091796875,-312.8978576660156
-300.016357421875,-299.26458740234375,-317.9290771484375
-305.0246887207031,-305.3750915527344,-310.7554931640625
-311.76470947265625,-311.2587890625,-317.8551940917969
-306.3516845703125,-306.4091796875,-320.7129211425781
-305.7330627441406,-314.9549560546875,-356.8699951171875
-298.36468505859375,-297.4909362792969,-301.54638671875
-309.2943115234375,-308.972900390625,-318.78173828125
-296.38702392578125,-299.1007080078125,-315.72503662109375
-298.0564880371094,-309.8937683105469,-336.56475830078125
-311.068359375,-308.82379150390625,-314.1141357421875
