"epoch","22/05 16:52:25 Finetune_12_speakers - _step","22/05 16:52:25 Finetune_12_speakers - _step__MIN","22/05 16:52:25 Finetune_12_speakers - _step__MAX","22/05 16:52:25 Finetune_12_speakers - SI-SNR","22/05 16:52:25 Finetune_12_speakers - SI-SNR__MIN","22/05 16:52:25 Finetune_12_speakers - SI-SNR__MAX","19/05 14:51:16 Finetune_5_speakers G - _step","19/05 14:51:16 Finetune_5_speakers G - _step__MIN","19/05 14:51:16 Finetune_5_speakers G - _step__MAX","19/05 14:51:16 Finetune_5_speakers G - SI-SNR","19/05 14:51:16 Finetune_5_speakers G - SI-SNR__MIN","19/05 14:51:16 Finetune_5_speakers G - SI-SNR__MAX","19/05 14:49:22 Finetune_3_speakers G - _step","19/05 14:49:22 Finetune_3_speakers G - _step__MIN","19/05 14:49:22 Finetune_3_speakers G - _step__MAX","19/05 14:49:22 Finetune_3_speakers G - SI-SNR","19/05 14:49:22 Finetune_3_speakers G - SI-SNR__MIN","19/05 14:49:22 Finetune_3_speakers G - SI-SNR__MAX","19/05 14:39:01 Finetune_1_speakers G - _step","19/05 14:39:01 Finetune_1_speakers G - _step__MIN","19/05 14:39:01 Finetune_1_speakers G - _step__MAX","19/05 14:39:01 Finetune_1_speakers G - SI-SNR","19/05 14:39:01 Finetune_1_speakers G - SI-SNR__MIN","19/05 14:39:01 Finetune_1_speakers G - SI-SNR__MAX"
"955","130","130","130","18.851350784301758","18.851350784301758","18.851350784301758","526","526","526","17.85489273071289","17.85489273071289","17.85489273071289","526","526","526","16.62765121459961","16.62765121459961","16.62765121459961","526","526","526","15.401954650878906","15.401954650878906","15.401954650878906"
"956","132","132","132","18.825124740600586","18.825124740600586","18.825124740600586","534","534","534","17.82784080505371","17.82784080505371","17.82784080505371","534","534","534","16.4744873046875","16.4744873046875","16.4744873046875","534","534","534","15.26578426361084","15.26578426361084","15.26578426361084"
"957","134","134","134","18.918811798095703","18.918811798095703","18.918811798095703","542","542","542","17.846712112426758","17.846712112426758","17.846712112426758","542","542","542","16.641828536987305","16.641828536987305","16.641828536987305","542","542","542","15.087483406066895","15.087483406066895","15.087483406066895"
"958","136","136","136","18.864107131958008","18.864107131958008","18.864107131958008","550","550","550","17.83893394470215","17.83893394470215","17.83893394470215","550","550","550","16.38507843017578","16.38507843017578","16.38507843017578","550","550","550","15.113576889038086","15.113576889038086","15.113576889038086"
"959","138","138","138","18.90571403503418","18.90571403503418","18.90571403503418","558","558","558","17.888315200805664","17.888315200805664","17.888315200805664","558","558","558","16.08452796936035","16.08452796936035","16.08452796936035","558","558","558","15.41092586517334","15.41092586517334","15.41092586517334"
"960","140","140","140","18.682771682739258","18.682771682739258","18.682771682739258","566","566","566","17.715591430664062","17.715591430664062","17.715591430664062","566","566","566","15.859853744506836","15.859853744506836","15.859853744506836","566","566","566","15.419129371643066","15.419129371643066","15.419129371643066"
"961","142","142","142","18.89865493774414","18.89865493774414","18.89865493774414","574","574","574","18.12248420715332","18.12248420715332","18.12248420715332","574","574","574","16.383752822875977","16.383752822875977","16.383752822875977","574","574","574","15.609997749328613","15.609997749328613","15.609997749328613"
"962","144","144","144","18.791406631469727","18.791406631469727","18.791406631469727","582","582","582","17.860822677612305","17.860822677612305","17.860822677612305","582","582","582","16.2009220123291","16.2009220123291","16.2009220123291","582","582","582","15.566862106323242","15.566862106323242","15.566862106323242"
"963","146","146","146","18.785146713256836","18.785146713256836","18.785146713256836","590","590","590","17.957191467285156","17.957191467285156","17.957191467285156","590","590","590","16.780534744262695","16.780534744262695","16.780534744262695","590","590","590","15.133639335632324","15.133639335632324","15.133639335632324"
"964","148","148","148","18.881305694580078","18.881305694580078","18.881305694580078","598","598","598","17.737363815307617","17.737363815307617","17.737363815307617","598","598","598","16.49830436706543","16.49830436706543","16.49830436706543","598","598","598","14.939339637756348","14.939339637756348","14.939339637756348"
