"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_encoder.0.norm.weight_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_encoder.0.norm.weight_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_encoder.0.norm.weight_norm__MAX"
"97","","","","","","","","","","","","","2200","2200","2200","5.4320783615112305","5.4320783615112305","5.4320783615112305"
"98","","","","","","","","","","","","","2222","2222","2222","5.431282043457031","5.431282043457031","5.431282043457031"
"99","","","","","","","","","","","","","2245","2245","2245","5.43040132522583","5.43040132522583","5.43040132522583"
"100","","","","","","","","","","","","","2267","2267","2267","5.4296345710754395","5.4296345710754395","5.4296345710754395"
"101","","","","","","","","","","","","","2289","2289","2289","5.42889404296875","5.42889404296875","5.42889404296875"
"102","","","","","","","","","","","","","2312","2312","2312","5.427948474884033","5.427948474884033","5.427948474884033"
"103","","","","","","","","","","","","","2334","2334","2334","5.42733907699585","5.42733907699585","5.42733907699585"
"104","","","","","","","","","","","","","2357","2357","2357","5.42661190032959","5.42661190032959","5.42661190032959"
"105","","","","","","","","","","","","","2379","2379","2379","5.425987243652344","5.425987243652344","5.425987243652344"
"106","","","","","","","","","","","","","2402","2402","2402","5.425356388092041","5.425356388092041","5.425356388092041"
"107","","","","","","","","","","","","","2424","2424","2424","5.424548625946045","5.424548625946045","5.424548625946045"
"108","","","","","","","","","","","","","2447","2447","2447","5.4238362312316895","5.4238362312316895","5.4238362312316895"
"109","","","","","","","","","","","","","2469","2469","2469","5.423029899597168","5.423029899597168","5.423029899597168"
"110","","","","","","","","","","","","","2492","2492","2492","5.422486782073975","5.422486782073975","5.422486782073975"
"111","","","","","","","","","","","","","2514","2514","2514","5.421657562255859","5.421657562255859","5.421657562255859"
"112","","","","","","","","","","","","","2536","2536","2536","5.420918941497803","5.420918941497803","5.420918941497803"
"113","","","","","","","","","","","","","2559","2559","2559","5.420322418212891","5.420322418212891","5.420322418212891"
"114","","","","","","","","","","","","","2581","2581","2581","5.419672012329102","5.419672012329102","5.419672012329102"
"115","","","","","","","","","","","","","2604","2604","2604","5.4190354347229","5.4190354347229","5.4190354347229"
"116","","","","","","","","","","","","","2626","2626","2626","5.418332576751709","5.418332576751709","5.418332576751709"
"117","","","","","","","","","","","","","2649","2649","2649","5.417078495025635","5.417078495025635","5.417078495025635"
"118","","","","","","","","","","","","","2671","2671","2671","5.416144371032715","5.416144371032715","5.416144371032715"
"119","","","","","","","","","","","","","2694","2694","2694","5.415534019470215","5.415534019470215","5.415534019470215"
"120","","","","","","","","","","","","","2716","2716","2716","5.4148736000061035","5.4148736000061035","5.4148736000061035"
"121","","","","","","","","","","","","","2739","2739","2739","5.4140543937683105","5.4140543937683105","5.4140543937683105"
"122","","","","","","","","","","","","","2761","2761","2761","5.413391590118408","5.413391590118408","5.413391590118408"
"123","","","","","","","","","","","","","2784","2784","2784","5.41274881362915","5.41274881362915","5.41274881362915"
"124","","","","","","","","","","","","","2806","2806","2806","5.412027835845947","5.412027835845947","5.412027835845947"
"125","","","","","","","","","","","","","2828","2828","2828","5.411438465118408","5.411438465118408","5.411438465118408"
"126","","","","","","","","","","","","","2851","2851","2851","5.4106035232543945","5.4106035232543945","5.4106035232543945"
"127","","","","","","","","","","","","","2873","2873","2873","5.409918785095215","5.409918785095215","5.409918785095215"
"128","","","","","","","","","","","","","2896","2896","2896","5.409143447875977","5.409143447875977","5.409143447875977"
"129","","","","","","","","","","","","","2918","2918","2918","5.408181190490723","5.408181190490723","5.408181190490723"
"130","","","","","","","","","","","","","2941","2941","2941","5.407536029815674","5.407536029815674","5.407536029815674"
"131","","","","","","","","","","","","","2963","2963","2963","5.406932830810547","5.406932830810547","5.406932830810547"
"132","","","","","","","","","","","","","2986","2986","2986","5.406106948852539","5.406106948852539","5.406106948852539"
"133","","","","","","","","","","","","","3008","3008","3008","5.4053144454956055","5.4053144454956055","5.4053144454956055"
