"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers1.bias_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers1.bias_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_fc_layers1.bias_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers1.bias_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers1.bias_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_fc_layers1.bias_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers1.bias_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers1.bias_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_fc_layers1.bias_norm__MAX"
"148","","","","","","","","","","","","","3345","3345","3345","0.8146535754203796","0.8146535754203796","0.8146535754203796"
"149","","","","","","","","","","","","","3368","3368","3368","0.8115125894546509","0.8115125894546509","0.8115125894546509"
"150","","","","","","","","","","","","","3390","3390","3390","0.8192087411880493","0.8192087411880493","0.8192087411880493"
"151","","","","","","","","","","","","","3412","3412","3412","0.8295105695724487","0.8295105695724487","0.8295105695724487"
"152","","","","","","","","","","","","","3435","3435","3435","0.830592691898346","0.830592691898346","0.830592691898346"
"153","","","","","","","","","","","","","3457","3457","3457","0.8364417552947998","0.8364417552947998","0.8364417552947998"
"154","","","","","","","","","","","","","3480","3480","3480","0.836601197719574","0.836601197719574","0.836601197719574"
"155","","","","","","","","","","","","","3502","3502","3502","0.837883710861206","0.837883710861206","0.837883710861206"
"156","","","","","","","","","","","","","3525","3525","3525","0.8416544795036316","0.8416544795036316","0.8416544795036316"
"157","","","","","","","","","","","","","3547","3547","3547","0.8407825827598572","0.8407825827598572","0.8407825827598572"
"158","","","","","","","","","","","","","3570","3570","3570","0.8412436842918396","0.8412436842918396","0.8412436842918396"
"159","","","","","","","","","","","","","3592","3592","3592","0.8425658345222473","0.8425658345222473","0.8425658345222473"
"160","","","","","","","","","","","","","3615","3615","3615","0.8459641933441162","0.8459641933441162","0.8459641933441162"
"161","","","","","","","","","","","","","3637","3637","3637","0.8478870987892151","0.8478870987892151","0.8478870987892151"
"162","","","","","","","","","","","","","3659","3659","3659","0.8487021327018738","0.8487021327018738","0.8487021327018738"
"163","","","","","","","","","","","","","3682","3682","3682","0.8503275513648987","0.8503275513648987","0.8503275513648987"
"164","","","","","","","","","","","","","3704","3704","3704","0.8533070087432861","0.8533070087432861","0.8533070087432861"
"165","","","","","","","","","","","","","3727","3727","3727","0.8554779887199402","0.8554779887199402","0.8554779887199402"
"166","","","","","","","","","","","","","3749","3749","3749","0.8615956902503967","0.8615956902503967","0.8615956902503967"
"167","","","","","","","","","","","","","3772","3772","3772","0.864568829536438","0.864568829536438","0.864568829536438"
"168","","","","","","","","","","","","","3794","3794","3794","0.8626790642738342","0.8626790642738342","0.8626790642738342"
"169","","","","","","","","","","","","","3817","3817","3817","0.8658578991889954","0.8658578991889954","0.8658578991889954"
"170","","","","","","","","","","","","","3839","3839","3839","0.8659053444862366","0.8659053444862366","0.8659053444862366"
"171","","","","","","","","","","","","","3862","3862","3862","0.8662727475166321","0.8662727475166321","0.8662727475166321"
"172","","","","","","","","","","","","","3884","3884","3884","0.8662758469581604","0.8662758469581604","0.8662758469581604"
"173","","","","","","","","","","","","","3907","3907","3907","0.8676797151565552","0.8676797151565552","0.8676797151565552"
"174","","","","","","","","","","","","","3929","3929","3929","0.8696609139442444","0.8696609139442444","0.8696609139442444"
"175","","","","","","","","","","","","","3951","3951","3951","0.8747153282165527","0.8747153282165527","0.8747153282165527"
"176","","","","","","","","","","","","","3974","3974","3974","0.8764293193817139","0.8764293193817139","0.8764293193817139"
"177","","","","","","","","","","","","","3996","3996","3996","0.8884978890419006","0.8884978890419006","0.8884978890419006"
"178","","","","","","","","","","","","","4019","4019","4019","0.8880321383476257","0.8880321383476257","0.8880321383476257"
"179","","","","","","","","","","","","","4041","4041","4041","0.888549268245697","0.888549268245697","0.888549268245697"
"180","","","","","","","","","","","","","4064","4064","4064","0.8889665603637695","0.8889665603637695","0.8889665603637695"
"181","","","","","","","","","","","","","4086","4086","4086","0.8920380473136902","0.8920380473136902","0.8920380473136902"
"182","","","","","","","","","","","","","4109","4109","4109","0.8938358426094055","0.8938358426094055","0.8938358426094055"
"183","","","","","","","","","","","","","4131","4131","4131","0.8939699530601501","0.8939699530601501","0.8939699530601501"
"184","","","","","","","","","","","","","4154","4154","4154","0.8925745487213135","0.8925745487213135","0.8925745487213135"
"185","","","","","","","","","","","","","4176","4176","4176","0.8933538198471069","0.8933538198471069","0.8933538198471069"
"186","","","","","","","","","","","","","4199","4199","4199","0.8943344354629517","0.8943344354629517","0.8943344354629517"
"187","","","","","","","","","","","","","4221","4221","4221","0.8942491412162781","0.8942491412162781","0.8942491412162781"
"188","","","","","","","","","","","","","4243","4243","4243","0.8923153877258301","0.8923153877258301","0.8923153877258301"
