"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Generator_decoder.0.norm.weight_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Generator_decoder.0.norm.weight_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm__MIN","29/04 10:06:37 Standard (weights)1 - Generator_decoder.0.norm.weight_norm__MAX"
"189","","","","","","","","","","","","","4266","4266","4266","8.586215019226074","8.586215019226074","8.586215019226074"
"190","","","","","","","","","","","","","4288","4288","4288","8.58962345123291","8.58962345123291","8.58962345123291"
"191","","","","","","","","","","","","","4311","4311","4311","8.591513633728027","8.591513633728027","8.591513633728027"
"192","","","","","","","","","","","","","4333","4333","4333","8.593810081481934","8.593810081481934","8.593810081481934"
"193","","","","","","","","","","","","","4356","4356","4356","8.5960111618042","8.5960111618042","8.5960111618042"
"194","","","","","","","","","","","","","4378","4378","4378","8.598332405090332","8.598332405090332","8.598332405090332"
"195","","","","","","","","","","","","","4401","4401","4401","8.600410461425781","8.600410461425781","8.600410461425781"
"196","","","","","","","","","","","","","4423","4423","4423","8.604002952575684","8.604002952575684","8.604002952575684"
"197","","","","","","","","","","","","","4446","4446","4446","8.603922843933105","8.603922843933105","8.603922843933105"
"198","","","","","","","","","","","","","4468","4468","4468","8.607499122619629","8.607499122619629","8.607499122619629"
"199","","","","","","","","","","","","","4491","4491","4491","8.611520767211914","8.611520767211914","8.611520767211914"
"200","","","","","","","","","","","","","4513","4513","4513","8.614814758300781","8.614814758300781","8.614814758300781"
"201","","","","","","","","","","","","","4535","4535","4535","8.616650581359863","8.616650581359863","8.616650581359863"
"202","","","","","","","","","","","","","4558","4558","4558","8.620742797851562","8.620742797851562","8.620742797851562"
"203","","","","","","","","","","","","","4580","4580","4580","8.621797561645508","8.621797561645508","8.621797561645508"
"204","","","","","","","","","","","","","4603","4603","4603","8.624639511108398","8.624639511108398","8.624639511108398"
"205","","","","","","","","","","","","","4625","4625","4625","8.62941837310791","8.62941837310791","8.62941837310791"
"206","","","","","","","","","","","","","4648","4648","4648","8.630986213684082","8.630986213684082","8.630986213684082"
"207","","","","","","","","","","","","","4670","4670","4670","8.634620666503906","8.634620666503906","8.634620666503906"
"208","","","","","","","","","","","","","4693","4693","4693","8.63748550415039","8.63748550415039","8.63748550415039"
"209","","","","","","","","","","","","","4715","4715","4715","8.639565467834473","8.639565467834473","8.639565467834473"
"210","","","","","","","","","","","","","4738","4738","4738","8.641059875488281","8.641059875488281","8.641059875488281"
"211","","","","","","","","","","","","","4760","4760","4760","8.643461227416992","8.643461227416992","8.643461227416992"
"212","","","","","","","","","","","","","4782","4782","4782","8.64575481414795","8.64575481414795","8.64575481414795"
"213","","","","","","","","","","","","","4805","4805","4805","8.648421287536621","8.648421287536621","8.648421287536621"
"214","","","","","","","","","","","","","4827","4827","4827","8.651082992553711","8.651082992553711","8.651082992553711"
"215","","","","","","","","","","","","","4850","4850","4850","8.653470039367676","8.653470039367676","8.653470039367676"
"216","","","","","","","","","","","","","4872","4872","4872","8.65684986114502","8.65684986114502","8.65684986114502"
"217","","","","","","","","","","","","","4895","4895","4895","8.661581993103027","8.661581993103027","8.661581993103027"
"218","","","","","","","","","","","","","4917","4917","4917","8.666913986206055","8.666913986206055","8.666913986206055"
