"epoch","16/05 17:25:53 Standard (weights)3 (continued899) - _step","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - _step__MAX","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.5.conv.weight_orig_norm","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.5.conv.weight_orig_norm__MIN","16/05 17:25:53 Standard (weights)3 (continued899) - Discriminator_conv_layers.5.conv.weight_orig_norm__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - _step","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - _step__MAX","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.5.conv.weight_orig_norm","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.5.conv.weight_orig_norm__MIN","06/05 14:47:18 - Standard (weights)2 (continued250) - Discriminator_conv_layers.5.conv.weight_orig_norm__MAX","29/04 10:06:37 Standard (weights)1 - _step","29/04 10:06:37 Standard (weights)1 - _step__MIN","29/04 10:06:37 Standard (weights)1 - _step__MAX","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.5.conv.weight_orig_norm","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.5.conv.weight_orig_norm__MIN","29/04 10:06:37 Standard (weights)1 - Discriminator_conv_layers.5.conv.weight_orig_norm__MAX"
"167","","","","","","","","","","","","","3772","3772","3772","19.63895034790039","19.63895034790039","19.63895034790039"
"168","","","","","","","","","","","","","3794","3794","3794","19.63178825378418","19.63178825378418","19.63178825378418"
"169","","","","","","","","","","","","","3817","3817","3817","19.67828941345215","19.67828941345215","19.67828941345215"
"170","","","","","","","","","","","","","3839","3839","3839","19.711002349853516","19.711002349853516","19.711002349853516"
"171","","","","","","","","","","","","","3862","3862","3862","19.710983276367188","19.710983276367188","19.710983276367188"
"172","","","","","","","","","","","","","3884","3884","3884","19.74430274963379","19.74430274963379","19.74430274963379"
"173","","","","","","","","","","","","","3907","3907","3907","19.767892837524414","19.767892837524414","19.767892837524414"
"174","","","","","","","","","","","","","3929","3929","3929","19.796438217163086","19.796438217163086","19.796438217163086"
"175","","","","","","","","","","","","","3951","3951","3951","19.832454681396484","19.832454681396484","19.832454681396484"
"176","","","","","","","","","","","","","3974","3974","3974","19.862640380859375","19.862640380859375","19.862640380859375"
"177","","","","","","","","","","","","","3996","3996","3996","19.924896240234375","19.924896240234375","19.924896240234375"
"178","","","","","","","","","","","","","4019","4019","4019","19.94997215270996","19.94997215270996","19.94997215270996"
"179","","","","","","","","","","","","","4041","4041","4041","19.967552185058594","19.967552185058594","19.967552185058594"
"180","","","","","","","","","","","","","4064","4064","4064","20.027074813842773","20.027074813842773","20.027074813842773"
"181","","","","","","","","","","","","","4086","4086","4086","20.063739776611328","20.063739776611328","20.063739776611328"
"182","","","","","","","","","","","","","4109","4109","4109","20.15996742248535","20.15996742248535","20.15996742248535"
"183","","","","","","","","","","","","","4131","4131","4131","20.165956497192383","20.165956497192383","20.165956497192383"
"184","","","","","","","","","","","","","4154","4154","4154","20.194093704223633","20.194093704223633","20.194093704223633"
"185","","","","","","","","","","","","","4176","4176","4176","20.177173614501953","20.177173614501953","20.177173614501953"
"186","","","","","","","","","","","","","4199","4199","4199","20.209205627441406","20.209205627441406","20.209205627441406"
"187","","","","","","","","","","","","","4221","4221","4221","20.222375869750977","20.222375869750977","20.222375869750977"
"188","","","","","","","","","","","","","4243","4243","4243","20.238574981689453","20.238574981689453","20.238574981689453"
"189","","","","","","","","","","","","","4266","4266","4266","20.34136199951172","20.34136199951172","20.34136199951172"
"190","","","","","","","","","","","","","4288","4288","4288","20.438886642456055","20.438886642456055","20.438886642456055"
"191","","","","","","","","","","","","","4311","4311","4311","20.446935653686523","20.446935653686523","20.446935653686523"
"192","","","","","","","","","","","","","4333","4333","4333","20.456533432006836","20.456533432006836","20.456533432006836"
"193","","","","","","","","","","","","","4356","4356","4356","20.45981788635254","20.45981788635254","20.45981788635254"
"194","","","","","","","","","","","","","4378","4378","4378","20.499414443969727","20.499414443969727","20.499414443969727"
"195","","","","","","","","","","","","","4401","4401","4401","20.5726261138916","20.5726261138916","20.5726261138916"
"196","","","","","","","","","","","","","4423","4423","4423","20.62700843811035","20.62700843811035","20.62700843811035"
"197","","","","","","","","","","","","","4446","4446","4446","20.62871551513672","20.62871551513672","20.62871551513672"
"198","","","","","","","","","","","","","4468","4468","4468","20.686229705810547","20.686229705810547","20.686229705810547"
"199","","","","","","","","","","","","","4491","4491","4491","20.828731536865234","20.828731536865234","20.828731536865234"
"200","","","","","","","","","","","","","4513","4513","4513","20.897096633911133","20.897096633911133","20.897096633911133"
"201","","","","","","","","","","","","","4535","4535","4535","20.920724868774414","20.920724868774414","20.920724868774414"
"202","","","","","","","","","","","","","4558","4558","4558","21.01057243347168","21.01057243347168","21.01057243347168"
"203","","","","","","","","","","","","","4580","4580","4580","21.062227249145508","21.062227249145508","21.062227249145508"
"204","","","","","","","","","","","","","4603","4603","4603","21.058135986328125","21.058135986328125","21.058135986328125"
"205","","","","","","","","","","","","","4625","4625","4625","21.137004852294922","21.137004852294922","21.137004852294922"
"206","","","","","","","","","","","","","4648","4648","4648","21.16399383544922","21.16399383544922","21.16399383544922"
"207","","","","","","","","","","","","","4670","4670","4670","21.268291473388672","21.268291473388672","21.268291473388672"
"208","","","","","","","","","","","","","4693","4693","4693","21.26317596435547","21.26317596435547","21.26317596435547"
"209","","","","","","","","","","","","","4715","4715","4715","21.27142333984375","21.27142333984375","21.27142333984375"
"210","","","","","","","","","","","","","4738","4738","4738","21.2959041595459","21.2959041595459","21.2959041595459"
"211","","","","","","","","","","","","","4760","4760","4760","21.300613403320312","21.300613403320312","21.300613403320312"
