"epoch","02/05 09:08:20 - training only generator - _step","02/05 09:08:20 - training only generator - _step__MIN","02/05 09:08:20 - training only generator - _step__MAX","02/05 09:08:20 - training only generator - Fidelity Loss","02/05 09:08:20 - training only generator - Fidelity Loss__MIN","02/05 09:08:20 - training only generator - Fidelity Loss__MAX"
"414","2077","2077","2077","719863.125","719863.125","719863.125"
"415","2082","2082","2082","719059.0625","719059.0625","719059.0625"
"416","2087","2087","2087","719089.1875","719089.1875","719089.1875"
"417","2092","2092","2092","718841.3125","718841.3125","718841.3125"
"418","2097","2097","2097","718387.3125","718387.3125","718387.3125"
"419","2102","2102","2102","719982.6875","719982.6875","719982.6875"
"420","2107","2107","2107","719915.125","719915.125","719915.125"
"421","2112","2112","2112","718389","718389","718389"
"422","2117","2117","2117","718041.5625","718041.5625","718041.5625"
"423","2122","2122","2122","718787.9375","718787.9375","718787.9375"
"424","2127","2127","2127","718463.25","718463.25","718463.25"
"425","2132","2132","2132","719493","719493","719493"
"426","2137","2137","2137","717635.6875","717635.6875","717635.6875"
"427","2142","2142","2142","718614.4375","718614.4375","718614.4375"
"428","2147","2147","2147","717517.75","717517.75","717517.75"
"429","2152","2152","2152","718268.0625","718268.0625","718268.0625"
"430","2157","2157","2157","718212.75","718212.75","718212.75"
"431","2162","2162","2162","717652.9375","717652.9375","717652.9375"
"432","2167","2167","2167","717175.875","717175.875","717175.875"
"433","2172","2172","2172","718264.9375","718264.9375","718264.9375"
"434","2177","2177","2177","717766.875","717766.875","717766.875"
"435","2182","2182","2182","717165.75","717165.75","717165.75"
"436","2187","2187","2187","717803.9375","717803.9375","717803.9375"
"437","2192","2192","2192","717251.25","717251.25","717251.25"
"438","2197","2197","2197","717829.3125","717829.3125","717829.3125"
"439","2202","2202","2202","717685.9375","717685.9375","717685.9375"
"440","2207","2207","2207","717845","717845","717845"
"441","2212","2212","2212","716934","716934","716934"
"442","2217","2217","2217","717730","717730","717730"
"443","2222","2222","2222","717397.625","717397.625","717397.625"
"444","2227","2227","2227","716270.75","716270.75","716270.75"
"445","2232","2232","2232","717480.75","717480.75","717480.75"
"446","2237","2237","2237","717030.1875","717030.1875","717030.1875"
"447","2242","2242","2242","719433.875","719433.875","719433.875"
"448","2247","2247","2247","718046.875","718046.875","718046.875"
"449","2252","2252","2252","716325.25","716325.25","716325.25"
"450","2257","2257","2257","716262.8125","716262.8125","716262.8125"
"451","2262","2262","2262","716815.0625","716815.0625","716815.0625"
"452","2267","2267","2267","716599.125","716599.125","716599.125"
"453","2272","2272","2272","716711.4375","716711.4375","716711.4375"
"454","2277","2277","2277","717348.1875","717348.1875","717348.1875"
"455","2282","2282","2282","716637.9375","716637.9375","716637.9375"
"456","2287","2287","2287","717056.8125","717056.8125","717056.8125"
"457","2292","2292","2292","717811.3125","717811.3125","717811.3125"
"458","2297","2297","2297","716612.1875","716612.1875","716612.1875"
"459","2302","2302","2302","716210.8125","716210.8125","716210.8125"
"460","2307","2307","2307","716418.8125","716418.8125","716418.8125"
"461","2312","2312","2312","717409.25","717409.25","717409.25"
"462","2317","2317","2317","716653","716653","716653"
"463","2322","2322","2322","717568.25","717568.25","717568.25"
"464","2327","2327","2327","714811.125","714811.125","714811.125"
"465","2332","2332","2332","716567.6875","716567.6875","716567.6875"
"466","2337","2337","2337","716123.875","716123.875","716123.875"
"467","2342","2342","2342","715097.6875","715097.6875","715097.6875"
"468","2347","2347","2347","715097.6875","715097.6875","715097.6875"
"469","2352","2352","2352","715129.6875","715129.6875","715129.6875"
"470","2357","2357","2357","715539.1875","715539.1875","715539.1875"
"471","2362","2362","2362","714752.375","714752.375","714752.375"
"472","2367","2367","2367","715878.75","715878.75","715878.75"
