"epoch","18/04 13:01:40 - training only discriminator - _step","18/04 13:01:40 - training only discriminator - _step__MIN","18/04 13:01:40 - training only discriminator - _step__MAX","18/04 13:01:40 - training only discriminator - D_Fake","18/04 13:01:40 - training only discriminator - D_Fake__MIN","18/04 13:01:40 - training only discriminator - D_Fake__MAX"
"240","481","481","481","-618.552978515625","-618.552978515625","-618.552978515625"
"241","483","483","483","-617.4990844726562","-617.4990844726562","-617.4990844726562"
"242","485","485","485","-616.8467407226562","-616.8467407226562","-616.8467407226562"
"243","487","487","487","-618.4878540039062","-618.4878540039062","-618.4878540039062"
"244","489","489","489","-618.2073974609375","-618.2073974609375","-618.2073974609375"
"245","491","491","491","-618.7481689453125","-618.7481689453125","-618.7481689453125"
"246","493","493","493","-616.745361328125","-616.745361328125","-616.745361328125"
"247","495","495","495","-617.3541870117188","-617.3541870117188","-617.3541870117188"
"248","497","497","497","-619.4202880859375","-619.4202880859375","-619.4202880859375"
"249","499","499","499","-617.9331665039062","-617.9331665039062","-617.9331665039062"
"250","501","501","501","-618.4255981445312","-618.4255981445312","-618.4255981445312"
"251","503","503","503","-618.7703857421875","-618.7703857421875","-618.7703857421875"
"252","505","505","505","-617.3032836914062","-617.3032836914062","-617.3032836914062"
"253","507","507","507","-618.2684936523438","-618.2684936523438","-618.2684936523438"
"254","509","509","509","-617.255859375","-617.255859375","-617.255859375"
"255","511","511","511","-618.6044921875","-618.6044921875","-618.6044921875"
"256","513","513","513","-617.9313354492188","-617.9313354492188","-617.9313354492188"
"257","515","515","515","-618.8101806640625","-618.8101806640625","-618.8101806640625"
"258","517","517","517","-618.1856689453125","-618.1856689453125","-618.1856689453125"
"259","519","519","519","-619.3760986328125","-619.3760986328125","-619.3760986328125"
"260","521","521","521","-618.355224609375","-618.355224609375","-618.355224609375"
"261","523","523","523","-618.0640258789062","-618.0640258789062","-618.0640258789062"
"262","525","525","525","-618.8991088867188","-618.8991088867188","-618.8991088867188"
"263","527","527","527","-618.5936889648438","-618.5936889648438","-618.5936889648438"
"264","529","529","529","-617.1323852539062","-617.1323852539062","-617.1323852539062"
"265","531","531","531","-620.0714721679688","-620.0714721679688","-620.0714721679688"
"266","533","533","533","-619.0839233398438","-619.0839233398438","-619.0839233398438"
"267","535","535","535","-618.3433837890625","-618.3433837890625","-618.3433837890625"
"268","537","537","537","-618.8911743164062","-618.8911743164062","-618.8911743164062"
"269","539","539","539","-619.7981567382812","-619.7981567382812","-619.7981567382812"
"270","541","541","541","-619.4773559570312","-619.4773559570312","-619.4773559570312"
"271","543","543","543","-619.7098388671875","-619.7098388671875","-619.7098388671875"
"272","545","545","545","-618.9014892578125","-618.9014892578125","-618.9014892578125"
"273","547","547","547","-619.3120727539062","-619.3120727539062","-619.3120727539062"
"274","549","549","549","-619.118408203125","-619.118408203125","-619.118408203125"
"275","551","551","551","-619.6473388671875","-619.6473388671875","-619.6473388671875"
"276","553","553","553","-619.5043334960938","-619.5043334960938","-619.5043334960938"
"277","555","555","555","-619.8683471679688","-619.8683471679688","-619.8683471679688"
"278","557","557","557","-620.8994140625","-620.8994140625","-620.8994140625"
"279","559","559","559","-619.071044921875","-619.071044921875","-619.071044921875"
"280","561","561","561","-619.6475830078125","-619.6475830078125","-619.6475830078125"
"281","563","563","563","-619.51513671875","-619.51513671875","-619.51513671875"
"282","565","565","565","-620.9974975585938","-620.9974975585938","-620.9974975585938"
"283","567","567","567","-619.09619140625","-619.09619140625","-619.09619140625"
"284","569","569","569","-620.439208984375","-620.439208984375","-620.439208984375"
"285","571","571","571","-619.5166625976562","-619.5166625976562","-619.5166625976562"
"286","573","573","573","-619.0474243164062","-619.0474243164062","-619.0474243164062"
"287","575","575","575","-618.915283203125","-618.915283203125","-618.915283203125"
"288","577","577","577","-619.63232421875","-619.63232421875","-619.63232421875"
"289","579","579","579","-619.7977905273438","-619.7977905273438","-619.7977905273438"
"290","581","581","581","-619.9735107421875","-619.9735107421875","-619.9735107421875"
"291","583","583","583","-620.06689453125","-620.06689453125","-620.06689453125"
"292","585","585","585","-619.4480590820312","-619.4480590820312","-619.4480590820312"
"293","587","587","587","-621.5233764648438","-621.5233764648438","-621.5233764648438"
"294","589","589","589","-620.81640625","-620.81640625","-620.81640625"
"295","591","591","591","-619.8894653320312","-619.8894653320312","-619.8894653320312"
"296","593","593","593","-620.962158203125","-620.962158203125","-620.962158203125"
"297","595","595","595","-619.9320068359375","-619.9320068359375","-619.9320068359375"
"298","597","597","597","-620.1588745117188","-620.1588745117188","-620.1588745117188"
"299","599","599","599","-618.7572021484375","-618.7572021484375","-618.7572021484375"
"300","601","601","601","-620.3872680664062","-620.3872680664062","-620.3872680664062"
"301","603","603","603","-619.7861328125","-619.7861328125","-619.7861328125"
"302","605","605","605","-620.8418579101562","-620.8418579101562","-620.8418579101562"
"303","607","607","607","-620.5361938476562","-620.5361938476562","-620.5361938476562"
"304","609","609","609","-621.1663818359375","-621.1663818359375","-621.1663818359375"
"305","611","611","611","-620.1015014648438","-620.1015014648438","-620.1015014648438"
"306","613","613","613","-622.453369140625","-622.453369140625","-622.453369140625"
"307","615","615","615","-620.0704345703125","-620.0704345703125","-620.0704345703125"
"308","617","617","617","-620.4700317382812","-620.4700317382812","-620.4700317382812"
"309","619","619","619","-621.9691162109375","-621.9691162109375","-621.9691162109375"
"310","621","621","621","-620.6804809570312","-620.6804809570312","-620.6804809570312"
"311","623","623","623","-621.696533203125","-621.696533203125","-621.696533203125"
"312","625","625","625","-619.514892578125","-619.514892578125","-619.514892578125"
"313","627","627","627","-620.8656005859375","-620.8656005859375","-620.8656005859375"
"314","629","629","629","-621.3280029296875","-621.3280029296875","-621.3280029296875"
"315","631","631","631","-621.6583862304688","-621.6583862304688","-621.6583862304688"
"316","633","633","633","-621.701904296875","-621.701904296875","-621.701904296875"
"317","635","635","635","-620.6719970703125","-620.6719970703125","-620.6719970703125"
"318","637","637","637","-620.608642578125","-620.608642578125","-620.608642578125"
"319","639","639","639","-620.7772216796875","-620.7772216796875","-620.7772216796875"
"320","641","641","641","-622.6278686523438","-622.6278686523438","-622.6278686523438"
"321","643","643","643","-621.8541870117188","-621.8541870117188","-621.8541870117188"
"322","645","645","645","-620.5914306640625","-620.5914306640625","-620.5914306640625"
"323","647","647","647","-621.3934326171875","-621.3934326171875","-621.3934326171875"
"324","649","649","649","-620.3255004882812","-620.3255004882812","-620.3255004882812"
"325","651","651","651","-622.4799194335938","-622.4799194335938","-622.4799194335938"
"326","653","653","653","-622.787109375","-622.787109375","-622.787109375"
"327","655","655","655","-620.6845092773438","-620.6845092773438","-620.6845092773438"
"328","657","657","657","-622.1061401367188","-622.1061401367188","-622.1061401367188"
"329","659","659","659","-622.9723510742188","-622.9723510742188","-622.9723510742188"
"330","661","661","661","-622.5540161132812","-622.5540161132812","-622.5540161132812"
"331","663","663","663","-622.66552734375","-622.66552734375","-622.66552734375"
"332","665","665","665","-622.1757202148438","-622.1757202148438","-622.1757202148438"
"333","667","667","667","-622.7434692382812","-622.7434692382812","-622.7434692382812"
"334","669","669","669","-621.1802368164062","-621.1802368164062","-621.1802368164062"
"335","671","671","671","-622.6309814453125","-622.6309814453125","-622.6309814453125"
"336","673","673","673","-622.6788330078125","-622.6788330078125","-622.6788330078125"
"337","675","675","675","-624.0057373046875","-624.0057373046875","-624.0057373046875"
"338","677","677","677","-621.8049926757812","-621.8049926757812","-621.8049926757812"
"339","679","679","679","-622.3336181640625","-622.3336181640625","-622.3336181640625"
"340","681","681","681","-622.0455322265625","-622.0455322265625","-622.0455322265625"
"341","683","683","683","-624.5016479492188","-624.5016479492188","-624.5016479492188"
"342","685","685","685","-622.5550537109375","-622.5550537109375","-622.5550537109375"
"343","687","687","687","-622.1653442382812","-622.1653442382812","-622.1653442382812"
"344","689","689","689","-622.4122924804688","-622.4122924804688","-622.4122924804688"
"345","691","691","691","-621.6107788085938","-621.6107788085938","-621.6107788085938"
"346","693","693","693","-621.6549072265625","-621.6549072265625","-621.6549072265625"
"347","695","695","695","-623.1983642578125","-623.1983642578125","-623.1983642578125"
"348","697","697","697","-622.237060546875","-622.237060546875","-622.237060546875"
"349","699","699","699","-622.6161499023438","-622.6161499023438","-622.6161499023438"
"350","701","701","701","-624.5672607421875","-624.5672607421875","-624.5672607421875"
"351","703","703","703","-623.8352661132812","-623.8352661132812","-623.8352661132812"
"352","705","705","705","-623.5499877929688","-623.5499877929688","-623.5499877929688"
"353","707","707","707","-622.8734130859375","-622.8734130859375","-622.8734130859375"
"354","709","709","709","-626.0690307617188","-626.0690307617188","-626.0690307617188"
"355","711","711","711","-625.5194702148438","-625.5194702148438","-625.5194702148438"
"356","713","713","713","-622.4708862304688","-622.4708862304688","-622.4708862304688"
"357","715","715","715","-626.1830444335938","-626.1830444335938","-626.1830444335938"
"358","717","717","717","-625.3049926757812","-625.3049926757812","-625.3049926757812"
"359","719","719","719","-625.6143188476562","-625.6143188476562","-625.6143188476562"
"360","721","721","721","-625.97216796875","-625.97216796875","-625.97216796875"
"361","723","723","723","-625.9627685546875","-625.9627685546875","-625.9627685546875"
"362","725","725","725","-626.1187744140625","-626.1187744140625","-626.1187744140625"
"363","727","727","727","-625.2883911132812","-625.2883911132812","-625.2883911132812"
"364","729","729","729","-626.3236694335938","-626.3236694335938","-626.3236694335938"
